lat,lon,height
45.26960944,-75.59382258,0.000
45.26960196,-75.593803,0.000
45.26960203,-75.59381152,0.000
45.26961413,-75.59381986,0.000
45.28651777,-75.6039232,0.000
45.28645877,-75.60388751,0.000
45.28651296,-75.60391371,0.000
45.28644639,-75.60401929,0.000
45.35671877,-75.6446123,0.000
45.34633814,-75.63870656,0.000
45.28762271,-75.60462634,0.000
45.29424232,-75.60855618,0.000
45.3539998,-75.64306856,0.000
45.35376874,-75.64295928,0.000
45.3090251,-75.61715893,0.000
45.30967192,-75.61751569,0.000
45.29832029,-75.61093277,0.000
45.30513781,-75.61495955,0.000
45.31201781,-75.61891891,0.000
45.29518415,-75.60918742,0.000
45.27069136,-75.59447139,0.000
45.27006057,-75.59404621,0.000
45.33013574,-75.62940805,0.000
45.33643456,-75.63301897,0.000
45.3368311,-75.63323711,0.000
45.33640631,-75.63296987,0.000
45.33598011,-75.63275359,0.000
45.33600405,-75.63273615,0.000
45.32243696,-75.62502089,0.000
45.33597729,-75.63275189,0.000
45.27715717,-75.59832115,0.000
45.27822333,-75.59899522,0.000
45.28246176,-75.60150242,0.000
45.37400313,-75.65436888,0.000
45.37400473,-75.65434744,0.000
45.37399323,-75.65437369,0.000
45.37400649,-75.65437178,0.000
45.37401216,-75.65434791,0.000
45.37400947,-75.65435829,0.000
45.25937154,-75.93439548,0.000
45.35391241,-75.35180775,0.000
45.29446441,-75.88182263,0.000
45.3411953,-75.73913924,0.000
45.26373722,-75.5713418,0.000
45.26372288,-75.57132316,0.000
45.27359713,-75.76158594,0.000
45.3289768,-75.65156358,0.000
45.32901055,-75.65150006,0.000
45.32899408,-75.65156605,0.000
45.32898129,-75.65152617,0.000
45.32898428,-75.65154783,0.000
45.32900397,-75.65155468,0.000
45.32899373,-75.65156035,0.000
45.32897542,-75.65154943,0.000
45.32898765,-75.65157485,0.000
45.42885692,-75.64129565,0.000
45.42885302,-75.64129144,0.000
45.42735411,-75.64049216,0.000
45.42523093,-75.63923085,0.000
45.42796216,-75.64081488,0.000
45.34135168,-75.80658742,0.000
45.33779326,-75.8034765,0.000
45.42976122,-75.70328856,0.000
45.41652104,-75.62014136,0.000
45.41744804,-75.61671044,0.000
45.41748189,-75.61667773,0.000
45.43835693,-75.6722459,0.000
45.43156725,-75.65712374,0.000
45.43157562,-75.65711757,0.000
45.43156329,-75.65712807,0.000
45.43156925,-75.65711944,0.000
45.34834994,-75.92930379,0.000
45.34614104,-75.931858,0.000
45.36221399,-75.78904039,0.000
45.36221996,-75.78903178,0.000
45.3622199,-75.78902324,0.000
45.36221152,-75.78903102,0.000
45.36221621,-75.78905074,0.000
45.36220914,-75.7890517,0.000
45.36221415,-75.78906601,0.000
45.36221589,-75.78903362,0.000
45.36222041,-75.78904458,0.000
45.36220759,-75.7890387,0.000
45.36220767,-75.78905079,0.000
45.36220792,-75.78903193,0.000
45.36131191,-75.78856964,0.000
45.35703946,-75.78619352,0.000
45.37269852,-75.66441165,0.000
45.37268052,-75.66442046,0.000
45.3726987,-75.66443727,0.000
45.37268545,-75.66443663,0.000
45.37268647,-75.6644076,0.000
45.3726985,-75.66441309,0.000
45.3726925,-75.66441174,0.000
45.37269033,-75.66440994,0.000
45.39437244,-75.66279346,0.000
45.3890266,-75.662943,0.000
45.38903751,-75.66293262,0.000
45.3890266,-75.662943,0.000
45.38901989,-75.66294716,0.000
45.38902445,-75.66293677,0.000
45.40861053,-75.65814219,0.000
45.40861494,-75.65814817,0.000
45.38664717,-75.66271223,0.000
45.3866458,-75.66271402,0.000
45.38663855,-75.66270448,0.000
45.38243389,-75.66203808,0.000
45.38242739,-75.66204669,0.000
45.3831671,-75.66222307,0.000
45.38316704,-75.66221453,0.000
45.39677175,-75.66204331,0.000
45.39859583,-75.66167152,0.000
45.39860197,-75.66168852,0.000
45.39858997,-75.6616595,0.000
45.39860083,-75.66168193,0.000
45.39859299,-75.66167584,0.000
45.3985981,-75.66168797,0.000
45.39860925,-75.66168924,0.000
45.39860191,-75.66167998,0.000
45.39861172,-75.66164511,0.000
45.39860799,-75.66168843,0.000
45.39860606,-75.66168523,0.000
45.39858981,-75.66167161,0.000
45.39859593,-75.66168538,0.000
45.39860792,-75.66167989,0.000
45.39860197,-75.66168852,0.000
45.39861382,-75.66166271,0.000
45.3985971,-75.66166991,0.000
45.37520368,-75.66091849,0.000
