Station,utm_e,utm_n,height,utm_z
329,371305.03556,5021354.45030,0,ON-9
330,371992.38605,5032461.25260,0,ON-9
331,371992.72050,5032460.82265,0,ON-9
332,372057.04306,5032294.91890,0,ON-9
333,372158.26665,5032060.02737,0,ON-9
334,372031.06793,5032362.22055,0,ON-9
335,359142.32985,5022612.15521,0,ON-9
336,359389.54994,5022218.82150,0,ON-9
337,367140.53852,5032511.82167,0,ON-9
338,373662.67335,5031108.27316,0,ON-9
339,373930.06545,5031214.23220,0,ON-9
340,373932.58426,5031218.02207,0,ON-9
341,369559.70856,5033491.58671,0,ON-9
342,370750.70510,5032749.34612,0,ON-9
343,370751.17847,5032750.28166,0,ON-9
344,370750.37065,5032748.90270,0,ON-9
345,370751.03955,5032749.57160,0,ON-9
346,349519.61440,5023314.38667,0,ON-9
347,349321.19868,5023067.50232,0,ON-9
348,360497.01145,5024942.51890,0,ON-9
349,360497.68034,5024943.18780,0,ON-9
350,360498.34924,5024943.18780,0,ON-9
351,360497.74795,5024942.25116,0,ON-9
352,360496.19910,5024942.75785,0,ON-9
353,360496.13055,5024941.97245,0,ON-9
354,360495.00476,5024942.51890,0,ON-9
355,360497.54000,5024942.73465,0,ON-9
356,360496.67700,5024943.22896,0,ON-9
357,360497.15037,5024941.80884,0,ON-9
358,360496.20363,5024941.80884,0,ON-9
359,360497.68034,5024941.85000,0,ON-9
360,360534.77643,5024842.59820,0,ON-9
361,360725.13505,5024369.45944,0,ON-9
362,370248.40355,5026201.40830,0,ON-9
363,370247.73465,5026199.40161,0,ON-9
364,370246.39686,5026201.40830,0,ON-9
365,370246.46267,5026199.93619,0,ON-9
366,370248.73503,5026200.07347,0,ON-9
367,370248.29108,5026201.40533,0,ON-9
368,370248.40355,5026200.73940,0,ON-9
369,370248.54700,5026200.50045,0,ON-9
370,370350.09662,5028611.30593,0,ON-9
371,370344.56750,5028017.11032,0,ON-9
372,370345.36724,5028018.33141,0,ON-9
373,370344.56750,5028017.11032,0,ON-9
374,370344.24953,5028016.36137,0,ON-9
375,370345.05735,5028016.87590,0,ON-9
376,370697.71790,5030197.36056,0,ON-9
377,370697.24453,5030197.84524,0,ON-9
378,370365.38865,5027752.87689,0,ON-9
379,370365.24973,5027752.72253,0,ON-9
380,370366.00531,5027751.92458,0,ON-9
381,370423.05345,5027285.21290,0,ON-9
382,370422.38681,5027284.48364,0,ON-9
383,370407.71826,5027366.54190,0,ON-9
384,370408.38715,5027366.54190,0,ON-9
385,370406.05365,5028878.54790,0,ON-9
386,370433.05035,5029081.55750,0,ON-9
